M,K,N,method,R,S,median_us,min_worker_us,max_worker_us,worker_us,runs,baseline_changed,outputs,max_abs,max_L1_relative,relative_L2
5120,17408,1,0,1,32,1623.5466900000001,1602.62927,1643.30127,"[1643.30127, 1623.5466900000001, 1602.62927]","['1788871550044045479', '1788871588789706429', '1788871630725552414']",0,5120,0.02093466176,1.97856485e-08,1.195455834e-07
5120,17408,1,1,1,32,1393.4666750000001,1393.28003,1397.834595,"[1393.28003, 1397.834595, 1393.4666750000001]","['1788871550044045479', '1788871588789706429', '1788871630725552414']",0,5120,0.02093466176,1.97856485e-08,1.195455834e-07
5120,17408,1,2,1,32,310.18132,309.552,311.12533499999995,"[310.18132, 311.12533499999995, 309.552]","['1788871550044045479', '1788871588789706429', '1788871630725552414']",0,5120,0.02093466176,1.97856485e-08,1.195455834e-07
5120,17408,1,2,2,32,205.41333,205.376,205.504005,"[205.376, 205.504005, 205.41333]","['1788871550044045479', '1788871588789706429', '1788871630725552414']",0,5120,0.02093466176,1.97856485e-08,1.195455834e-07
5120,17408,1,2,4,8,196.709335,196.43200000000002,196.96534,"[196.43200000000002, 196.96534, 196.709335]","['1788871550044045479', '1788871588789706429', '1788871630725552414']",4237,5120,0.03068725746,2.656010363e-08,1.719879004e-07
5120,17408,1,2,4,16,145.58933000000002,145.46667000000002,146.101335,"[145.58933000000002, 146.101335, 145.46667000000002]","['1788871550044045479', '1788871588789706429', '1788871630725552414']",3879,5120,0.02287475746,2.244615074e-08,1.393363499e-07
5120,17408,1,2,4,32,148.112,147.840005,148.17067,"[148.112, 148.17067, 147.840005]","['1788871550044045479', '1788871588789706429', '1788871630725552414']",0,5120,0.02093466176,1.97856485e-08,1.195455834e-07
5120,17408,1,3,4,32,301.99467500000003,301.83466999999996,302.68802,"[301.83466999999996, 302.68802, 301.99467500000003]","['1788871550044045479', '1788871588789706429', '1788871630725552414']",0,5120,0.02093466176,1.97856485e-08,1.195455834e-07
5120,17408,1,4,4,8,308.528015,308.11199999999997,309.50399500000003,"[308.11199999999997, 309.50399500000003, 308.528015]","['1788871550044045479', '1788871588789706429', '1788871630725552414']",4319,5120,0.03496836586,3.198144796e-08,1.733031402e-07
5120,17408,1,4,4,32,155.818665,155.653325,156.40533,"[155.653325, 156.40533, 155.818665]","['1788871550044045479', '1788871588789706429', '1788871630725552414']",3924,5120,0.02201029526,1.97856485e-08,1.205050965e-07
5120,17408,1,5,1,32,1625.669375,1603.61066,1645.797365,"[1603.61066, 1645.797365, 1625.669375]","['1788871550044045479', '1788871588789706429', '1788871630725552414']",0,5120,0.02093466176,1.97856485e-08,1.195455834e-07
