gpu,M,K,N,method,R,S,median_us,min_worker_us,max_worker_us,worker_us,runs,baseline_changed,outputs,max_abs,max_L1_relative,relative_L2
1,5120,5120,4,14,2,32,117.28533999999999,115.95734,117.92,"[115.95734, 117.28533999999999, 117.92]","['1788873374895280815', '1788873460459482986', '1788873618387621331']",0,20480,0.009921371631,3.529814674e-08,1.013475131e-07
1,5120,5120,4,14,4,32,116.954665,115.658665,117.49334,"[115.658665, 116.954665, 117.49334]","['1788873374895280815', '1788873460459482986', '1788873618387621331']",0,20480,0.009921371631,3.529814674e-08,1.013475131e-07
1,5120,5120,4,17,4,32,116.021335,114.56533,116.22933499999999,"[114.56533, 116.021335, 116.22933499999999]","['1788873374895280815', '1788873460459482986', '1788873618387621331']",0,20480,0.009921371631,3.529814674e-08,1.013475131e-07
1,5120,5120,4,30,4,32,97.21600000000001,96.592,97.27467,"[96.592, 97.27467, 97.21600000000001]","['1788873374895280815', '1788873460459482986', '1788873618387621331']",0,20480,0.009921371631,3.529814674e-08,1.013475131e-07
1,5120,5120,4,31,4,32,99.42933500000001,98.416,101.418665,"[98.416, 99.42933500000001, 101.418665]","['1788873374895280815', '1788873460459482986', '1788873618387621331']",0,20480,0.009921371631,3.529814674e-08,1.013475131e-07
1,5120,5120,4,36,2,32,67.47733,67.39733000000001,68.672,"[67.39733000000001, 67.47733, 68.672]","['1788873374895280815', '1788873460459482986', '1788873618387621331']",0,20480,0.009921371631,3.529814674e-08,1.013475131e-07
1,5120,17408,1,2,2,32,206.09600999999998,205.73334,206.570655,"[206.570655, 206.09600999999998, 205.73334]","['1788873355384383219', '1788873480286407498', '1788873578660406377']",0,5120,0.02093466176,1.97856485e-08,1.195455834e-07
1,5120,17408,1,2,4,32,147.173335,146.76267,147.22132499999998,"[147.22132499999998, 146.76267, 147.173335]","['1788873355384383219', '1788873480286407498', '1788873578660406377']",0,5120,0.02093466176,1.97856485e-08,1.195455834e-07
1,5120,17408,1,10,4,32,154.736,154.463995,154.99733,"[154.736, 154.463995, 154.99733]","['1788873355384383219', '1788873480286407498', '1788873578660406377']",0,5120,0.02093466176,1.97856485e-08,1.195455834e-07
1,5120,17408,1,11,4,32,126.096,125.82933,126.10667,"[126.10667, 125.82933, 126.096]","['1788873355384383219', '1788873480286407498', '1788873578660406377']",0,5120,0.02093466176,1.97856485e-08,1.195455834e-07
